2025-03-26 13:58:29 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 401 | Duration: 7ms
2025-03-26 13:58:29 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications?page=1 | Response: 401 | Duration: 2ms
2025-03-26 13:58:30 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 10ms
2025-03-26 13:58:30 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 7ms
2025-03-26 13:58:30 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 95ms
2025-03-26 13:58:30 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications?page=1 | Response: 304 | Duration: 109ms
2025-03-26 14:01:07 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 97ms
2025-03-26 14:01:07 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications?page=1 | Response: 304 | Duration: 127ms
2025-03-26 14:04:29 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 401 | Duration: 8ms
2025-03-26 14:04:29 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 9ms
2025-03-26 14:04:29 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 60ms
2025-03-26 14:04:29 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 78ms
2025-03-26 14:04:47 [INFO]: Request: GET /users/sign-out | Response: 304 | Duration: 1ms
2025-03-26 14:04:51 [WARN]: Request: POST /users/sign-in | Response: 401 | Duration: 124ms
2025-03-26 14:05:07 [WARN]: Request: POST /users/sign-in | Response: 401 | Duration: 104ms
2025-03-26 14:05:11 [WARN]: Request: POST /users/sign-in | Response: 401 | Duration: 104ms
2025-03-26 14:05:14 [WARN]: Request: POST /users/sign-in | Response: 401 | Duration: 113ms
2025-03-26 14:05:23 [INFO]: Request: POST /users/sign-in | Response: 200 | Duration: 106ms
2025-03-26 14:05:23 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/profile | Response: 304 | Duration: 39ms
2025-03-26 17:43:42 [WARN]: Request: GET /users/67b73ccff9abd4290f863a3d/notifications/count | Response: 401 | Duration: 6ms
2025-03-26 17:43:42 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/profile | Response: 304 | Duration: 53ms
2025-03-26 17:43:42 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 13ms
2025-03-26 17:43:42 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/notifications/count | Response: 200 | Duration: 77ms
2025-03-26 17:53:25 [WARN]: Request: GET /users/67b73ccff9abd4290f863a3d/notifications/count | Response: 401 | Duration: 11ms
2025-03-26 17:53:25 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/profile | Response: 304 | Duration: 56ms
2025-03-26 17:53:25 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 13ms
2025-03-26 17:53:25 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/notifications/count | Response: 304 | Duration: 75ms
